,algorithm,features,p_NFS,p_UFS,p_CFS,p_wavg,r_NFS,r_UFS,r_CFS,r_wavg,f_NFS,f_UFS,f_CFS,f_wavg
0,RFC-baseline,W1,1.0,0.998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,1.0,1.0
0,dummy,none,0.666,0.0,0.0,0.444,1.0,0.0,0.0,0.666,0.8,0.0,0.0,0.533
